Source,Target,Type,Id,Label,Weight,Color
LCRN01,pulidojorge,Directed,313,,2,"#000000"
jeankijc8a,SOLOVENEX_,Directed,314,,0.5,"#000000"
luisgrven,lubrio,Directed,317,,1,"#000000"
josegregorioh22,pxd_ve,Directed,319,,0.5,"#000000"
josegregorioh22,Naranjazos10,Directed,320,,2,"#000000"
josegregorioh22,conexgoleadora,Directed,321,,0.5,"#000000"
josegregorioh22,idiomafutve,Directed,322,,0.5,"#000000"
josegregorioh22,guille94,Directed,323,,1,"#000000"
josegregorioh22,MarioSanchezVe,Directed,324,,1,"#000000"
josegregorioh22,jpeseteiroDT,Directed,325,,1,"#000000"
josegregorioh22,RaulZambrano7,Directed,326,,1,"#000000"
ElGocho1984,SOLOVENEX_,Directed,327,,0.5,"#000000"
Ivan11Alfonzo,SOLOVENEX_,Directed,329,,0.5,"#000000"
Anirak94600506,VTVcanal8,Directed,331,,0.5,"#000000"
OscarRondon,JAntonioQ_,Directed,334,,1,"#000000"
Tavocolmenares,FCalienteRadio,Directed,335,,0.5,"#000000"
Tavocolmenares,pulidojorge,Directed,337,,1,"#000000"
zonalibre28,SOLOVENEX_,Directed,338,,0.5,"#000000"
dultoray,VTVcanal8,Directed,340,,0.5,"#000000"
CARLOSZAMUDIA,MoralesGabriel_,Directed,342,,2,"#000000"
CARLOSZAMUDIA,josezambrano01,Directed,343,,0.5,"#000000"
omary67809,VTVcanal8,Directed,346,,0.5,"#000000"
YuraiVi5,VTVcanal8,Directed,350,,0.5,"#000000"
MichellJosue,SOLOVENEX_,Directed,352,,0.5,"#000000"
MichellJosue,MoralesGabriel_,Directed,353,,2,"#000000"
MichellJosue,Daniel_tach,Directed,354,,0.5,"#000000"
MichellJosue,klown_perez,Directed,355,,0.5,"#000000"
MichellJosue,SinFaltapy,Directed,356,,0.5,"#000000"
Bucanero1971,SOLOVENEX_,Directed,358,,0.5,"#000000"
Bucanero1971,Naranjazos10,Directed,359,,0.5,"#000000"
Torkolsupreme26,ErasmoProvenza,Directed,362,,1,"#000000"
Torkolsupreme26,klon_perez,Directed,363,,1,"#000000"
Ing_Gilbert,SOLOVENEX_,Directed,364,,0.5,"#000000"
pulidojorge,EsRojas,Directed,366,,0.5,"#000000"
pulidojorge,HDFutbolSocopo,Directed,367,,0.5,"#000000"
pulidojorge,ManoloDavilatv,Directed,369,,0.5,"#000000"
pulidojorge,checkmol,Directed,370,,0.5,"#000000"
pulidojorge,kuzackXXI,Directed,371,,0.5,"#000000"
pulidojorge,LuisReyemp77,Directed,372,,1,"#000000"
pulidojorge,ndjsm26,Directed,373,,1,"#000000"
pulidojorge,edom2010,Directed,374,,0.5,"#000000"
pulidojorge,pulidojorge,Directed,375,,1,"#000000"
pulidojorge,CARLOSZAMUDIA,Directed,376,,1,"#000000"
pulidojorge,edgarpipo12,Directed,377,,1,"#000000"
pulidojorge,Arfariasfutbol,Directed,378,,1,"#000000"
pulidojorge,Haac121,Directed,379,,1,"#000000"
pulidojorge,asgranado,Directed,380,,1,"#000000"
pulidojorge,agdws,Directed,381,,1,"#000000"
pulidojorge,Carlospdiaz1990,Directed,382,,1,"#000000"
pulidojorge,manuelM2herrera,Directed,383,,1,"#000000"
pulidojorge,ivandsound,Directed,384,,1,"#000000"
pulidojorge,FranciscoNewsVe,Directed,385,,1,"#000000"
pulidojorge,gudino_22,Directed,386,,1,"#000000"
pulidojorge,ramoncolmenarec,Directed,387,,1,"#000000"
pulidojorge,giovaromero19,Directed,388,,1,"#000000"
pulidojorge,LPPA1203,Directed,389,,1,"#000000"
pulidojorge,jeanmelendezf,Directed,390,,1,"#000000"
pulidojorge,quiquelu97,Directed,391,,1,"#000000"
pulidojorge,marcanosimon82,Directed,392,,1,"#000000"
pulidojorge,jeanlpz5,Directed,393,,1,"#000000"
pulidojorge,LuisMed86143055,Directed,394,,1,"#000000"
pulidojorge,angelluzcategui,Directed,395,,1,"#000000"
pulidojorge,Jolar236,Directed,396,,1,"#000000"
pulidojorge,elrichardcarden,Directed,397,,1,"#000000"
pulidojorge,cbayone89,Directed,398,,1,"#000000"
pulidojorge,Slash_akd,Directed,399,,1,"#000000"
pulidojorge,Libertadores,Directed,400,,1,"#000000"
pulidojorge,jesusalfredoSP,Directed,401,,1,"#000000"
pulidojorge,GashantiC,Directed,402,,1,"#000000"
pulidojorge,cnoguera_47,Directed,403,,1,"#000000"
pulidojorge,carluchosoyyo,Directed,404,,1,"#000000"
pulidojorge,Jdsm2609,Directed,405,,1,"#000000"
pulidojorge,XaviDMartinez,Directed,406,,1,"#000000"
pulidojorge,melixititas,Directed,407,,1,"#000000"
pulidojorge,JavierRosillo,Directed,408,,1,"#000000"
pulidojorge,SuarezEmilio17,Directed,409,,1,"#000000"
pulidojorge,HegleeH,Directed,410,,1,"#000000"
pulidojorge,juniorvasquez21,Directed,411,,1,"#000000"
pulidojorge,LaPeloticca,Directed,412,,1,"#000000"
