_id,message_clean,followers,followings,listed_count,favourites_count,likes_count,retweet_count,quote_count,comments_count,reactions_count,count_user,statuses_count,Degree,pageranks_desnormalizado,indice_influencia
646d2f52bde86ad342131721,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,161,262,0,153771,0,0,0,0,0,13,19156,5.0,0.0044,0.011000000000000001
646d2f52bde86ad342131722,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,213,1345,3,30062,0,0,0,0,0,4,4688,1.0,0.0044,0.0022
646d2f52bde86ad342131723,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,353,1339,1,79488,0,0,0,0,0,11,55002,3.0,0.0044,0.0066
646d2f52bde86ad342131724,pueblo nuevo tachira queda q tomar cuenta q aqui hecho mas grandes partidos q existe 1 red radios locutores q viven futbol mas grande pasion,784,762,5,4808,0,0,0,0,0,4,119848,4.0,0.0044,0.0088
646d2f52bde86ad342131725,mas hermano deje ver juegos solo veo equipo mismo verlo aplicacion tv cada dia demuestran mal gerentes solo piensan intereses pocos,176,554,0,10993,2,0,0,1,3,4,10774,5.0,0.0056,0.014
646d2f52bde86ad342131726,creo sido grave error parte liga tener algun canal tv abierta transmision juegos si menos consumes producto si vez sigues equipo plaza,732,3592,0,33541,3,0,0,1,4,38,25277,32.0,0.0336,0.5376
646d2f52bde86ad342131727,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,63,170,0,82695,0,0,0,0,0,21,22851,8.0,0.0044,0.0176
646d2f52bde86ad342131728,presidente fvf anuncio estadio maturin sera sede primer juego local vinotinto,447463,494,1807,230,0,0,0,0,0,31,3089668,6.0,0.0225,0.0675
646d2f52bde86ad342131729,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,2213,2405,6,43670,0,0,0,0,0,2,60446,1.0,0.0044,0.0022
646d2f52bde86ad34213172a,mas alla tener contrato bolivia fvf deberia contactarlo traerlo vuelta daniel brizuela mejores ojeadores continente descubierto grandes talentos hoy brillan europa nota compromiso,53,307,0,32621,0,0,0,0,0,2,1917,3.0,0.0044,0.0066
646d2f52bde86ad34213172b,senalamientos selecciones navarras sub 12 madrid valdebernardo madrid 2904 0105,6388,1946,30,10430,5,0,0,0,5,4,10195,7.0,0.0231,0.08084999999999999
646d2f52bde86ad34213172c,venezuela misma imagino arbitros designa deberian tener mismo criterio cierto entonces si semana pasa argote expulso bryan castillo piscinazo paso aca senor luis salas ademas amonestado,190,609,2,296,0,0,0,0,0,22,20195,9.0,0.0044,0.0198
646d2f52bde86ad34213172d,jorge gimenez presidente fvf confirmo partido fecha fifa 2 eliminatorias mundialista venezuela paraguay jugara monumental maturin 12 septiembre,7,55,0,594,0,0,0,0,0,4,988,2.0,0.0044,0.0044
646d2f52bde86ad34213172e,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,741,754,2,4909,0,0,0,0,0,3,6200,1.0,0.0044,0.0022
